                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                 1.3811,                 1.3266,                 1.3872,                0.61121,                0.64795,                0.65487,                0.36133,                 1.4893,                 1.2443,                 1.4239,               0.009538,               0.009538,               0.009538
                     16,                 1.3677,                 1.2868,                 1.3703,                0.74134,                0.67745,                0.74883,                0.43333,                 1.3666,                 1.1582,                 1.3184,               0.009505,               0.009505,               0.009505
                     17,                 1.3562,                 1.2895,                 1.3599,                0.69297,                0.66804,                0.71815,                0.39469,                 1.4177,                 1.1903,                 1.3423,               0.009472,               0.009472,               0.009472
                     18,                 1.3441,                  1.261,                 1.3605,                 0.7034,                0.71083,                0.74903,                0.43431,                 1.3951,                  1.193,                 1.3396,               0.009439,               0.009439,               0.009439
                     19,                 1.3321,                 1.2454,                 1.3487,                0.73683,                0.65659,                0.72878,                 0.4246,                 1.3408,                 1.1229,                 1.3033,               0.009406,               0.009406,               0.009406
                     20,                  1.328,                 1.2244,                 1.3462,                0.69754,                0.65906,                0.72549,                0.40758,                 1.3438,                  1.182,                 1.3063,               0.009373,               0.009373,               0.009373
                     21,                 1.3197,                 1.1894,                 1.3316,                0.71154,                0.64326,                0.71186,                 0.4214,                 1.3546,                 1.1386,                 1.3005,                0.00934,                0.00934,                0.00934
                     22,                 1.3104,                 1.1954,                 1.3329,                0.75631,                0.72307,                0.78039,                 0.4267,                 1.3928,                  1.072,                 1.3135,               0.009307,               0.009307,               0.009307
                     23,                 1.2988,                 1.1773,                 1.3226,                0.72608,                0.77231,                0.81525,                 0.4811,                 1.3066,                0.99372,                 1.2501,               0.009274,               0.009274,               0.009274
                     24,                 1.2843,                 1.1483,                 1.3149,                0.77201,                0.74619,                  0.803,                0.48771,                 1.2733,                0.95474,                 1.2455,               0.009241,               0.009241,               0.009241
                     25,                 1.2805,                 1.1254,                 1.3082,                 0.7147,                0.76696,                0.80256,                0.47025,                 1.3391,                 1.0102,                 1.3169,               0.009208,               0.009208,               0.009208
                     26,                 1.2641,                 1.0917,                 1.2954,                0.69207,                0.79589,                0.80883,                0.48186,                 1.3221,                0.98819,                  1.313,               0.009175,               0.009175,               0.009175
                     27,                 1.2633,                 1.1154,                 1.2968,                0.73705,                0.71101,                0.78654,                0.46496,                 1.3121,                  1.066,                 1.2461,               0.009142,               0.009142,               0.009142
                     28,                 1.2579,                  1.091,                 1.2908,                0.70807,                0.75073,                 0.7834,                0.45569,                 1.3531,                 1.0176,                 1.2828,               0.009109,               0.009109,               0.009109
                     29,                  1.243,                 1.0738,                 1.2846,                0.71964,                0.70548,                0.77546,                0.47561,                 1.2666,                 1.0253,                 1.2453,               0.009076,               0.009076,               0.009076
                     30,                 1.2267,                 1.0628,                 1.2822,                0.81641,                0.78682,                0.85275,                0.52676,                 1.2464,                0.86155,                 1.2305,               0.009043,               0.009043,               0.009043
                     31,                 1.2317,                 1.0581,                 1.2818,                0.77005,                0.76554,                 0.8333,                 0.5076,                 1.2843,                0.87795,                 1.2426,                0.00901,                0.00901,                0.00901
                     32,                 1.2244,                 1.0385,                  1.275,                0.75783,                0.76534,                0.81396,                0.49351,                 1.3174,                0.97364,                 1.2482,               0.008977,               0.008977,               0.008977
                     33,                 1.2172,                 1.0277,                 1.2639,                0.77178,                0.79126,                0.84972,                 0.5142,                 1.2461,                0.87024,                 1.2165,               0.008944,               0.008944,               0.008944
                     34,                 1.2057,                 1.0191,                 1.2613,                 0.7611,                0.73666,                 0.8078,                0.47244,                 1.3382,                0.98339,                 1.2978,               0.008911,               0.008911,               0.008911
                     35,                 1.2024,                 1.0239,                 1.2579,                0.72634,                0.73149,                 0.7714,                0.45829,                 1.2736,                 1.0203,                 1.2735,               0.008878,               0.008878,               0.008878
                     36,                 1.2047,                 1.0034,                   1.26,                0.77943,                0.71689,                0.80357,                0.47774,                 1.3322,                 1.0265,                 1.2683,               0.008845,               0.008845,               0.008845
                     37,                 1.2038,                 1.0127,                 1.2574,                0.80175,                0.83745,                0.86788,                 0.5293,                 1.2117,                0.86084,                 1.2082,               0.008812,               0.008812,               0.008812
                     38,                 1.1928,                0.99388,                 1.2549,                0.79223,                0.78095,                0.83988,                0.53452,                 1.2277,                0.89588,                 1.1847,               0.008779,               0.008779,               0.008779
                     39,                 1.1818,                0.99039,                 1.2562,                0.79416,                0.81535,                0.85471,                0.52744,                 1.1962,                0.80412,                 1.1728,               0.008746,               0.008746,               0.008746
                     40,                 1.1803,                0.97868,                 1.2396,                0.83251,                 0.7572,                0.84986,                0.53889,                 1.2178,                0.84173,                 1.1875,               0.008713,               0.008713,               0.008713
                     41,                 1.1681,                0.96806,                 1.2312,                0.81265,                0.81475,                0.85259,                0.53106,                 1.2419,                0.85682,                 1.2392,                0.00868,                0.00868,                0.00868
                     42,                 1.1558,                0.95747,                 1.2319,                0.82779,                0.76494,                0.84282,                0.53743,                 1.1881,                0.91034,                 1.1998,               0.008647,               0.008647,               0.008647
                     43,                 1.1535,                0.94726,                 1.2284,                0.83454,                0.76565,                0.86362,                0.54277,                   1.23,                0.80494,                 1.1834,               0.008614,               0.008614,               0.008614
                     44,                 1.1415,                0.93087,                 1.2139,                0.81347,                0.76406,                0.85722,                0.55014,                 1.1999,                0.83327,                 1.1969,               0.008581,               0.008581,               0.008581
                     45,                 1.1482,                0.94271,                 1.2204,                  0.856,                0.78594,                0.85077,                0.53311,                 1.2189,                0.82095,                 1.1986,               0.008548,               0.008548,               0.008548
                     46,                 1.1471,                0.92534,                 1.2117,                0.83431,                0.82401,                0.87064,                0.54898,                 1.2277,                0.79687,                  1.213,               0.008515,               0.008515,               0.008515
                     47,                 1.1223,                0.90753,                 1.2098,                0.79552,                0.81807,                 0.8579,                0.51907,                 1.2464,                0.79419,                 1.2242,               0.008482,               0.008482,               0.008482
                     48,                 1.1254,                0.90281,                 1.2075,                0.84412,                0.76788,                0.86245,                0.49654,                   1.36,                0.89165,                 1.3014,               0.008449,               0.008449,               0.008449
                     49,                 1.1205,                0.89595,                 1.2069,                0.87012,                0.81411,                0.89785,                0.57947,                 1.1292,                0.72334,                 1.1444,               0.008416,               0.008416,               0.008416
                     50,                 1.1208,                0.87134,                 1.2074,                0.83054,                0.77493,                0.87182,                 0.5464,                 1.1975,                 0.7681,                 1.1715,               0.008383,               0.008383,               0.008383
                     51,                 1.1222,                0.89068,                 1.1989,                0.78844,                0.75587,                0.81229,                0.50004,                 1.2137,                0.93601,                 1.1788,                0.00835,                0.00835,                0.00835
                     52,                 1.1109,                0.86787,                 1.1931,                0.77961,                0.86199,                0.86759,                0.54253,                 1.1708,                0.80804,                 1.1751,               0.008317,               0.008317,               0.008317
                     53,                  1.108,                0.87654,                  1.195,                0.82643,                0.77493,                0.86734,                0.55243,                 1.2285,                0.76967,                 1.1863,               0.008284,               0.008284,               0.008284
                     54,                 1.1156,                0.87986,                 1.1996,                0.83643,                0.78742,                0.86597,                0.54383,                 1.1988,                0.80674,                 1.1636,               0.008251,               0.008251,               0.008251
                     55,                  1.097,                0.86378,                 1.1941,                0.84804,                0.78299,                0.86515,                0.56899,                 1.1484,                0.81294,                 1.1437,               0.008218,               0.008218,               0.008218
                     56,                 1.0977,                0.85706,                 1.1877,                 0.8061,                0.84581,                 0.8954,                0.58682,                 1.1489,                0.75144,                 1.1386,               0.008185,               0.008185,               0.008185
                     57,                 1.0931,                0.85045,                 1.1801,                0.84146,                0.82028,                0.87557,                0.55239,                 1.2383,                0.77665,                 1.2003,               0.008152,               0.008152,               0.008152
                     58,                 1.0877,                0.85122,                  1.187,                0.82579,                0.83621,                0.88227,                 0.5683,                 1.1668,                0.76239,                   1.17,               0.008119,               0.008119,               0.008119
                     59,                 1.0882,                0.84453,                 1.1831,                0.84281,                0.84156,                0.90054,                0.57239,                 1.1947,                0.74876,                 1.1543,               0.008086,               0.008086,               0.008086
                     60,                 1.0744,                0.84799,                 1.1852,                0.83783,                0.82297,                 0.8722,                0.57586,                 1.1899,                0.78127,                 1.1833,               0.008053,               0.008053,               0.008053
                     61,                 1.0779,                 0.8328,                 1.1748,                0.81777,                0.85687,                0.89639,                0.57949,                 1.1563,                0.69063,                 1.1492,                0.00802,                0.00802,                0.00802
                     62,                 1.0734,                0.83316,                 1.1814,                0.84236,                0.84961,                0.88123,                0.55876,                 1.1804,                0.75887,                 1.1617,               0.007987,               0.007987,               0.007987
                     63,                 1.0641,                0.82446,                   1.17,                0.83341,                0.81039,                0.88537,                0.55922,                 1.2148,                0.77866,                  1.212,               0.007954,               0.007954,               0.007954
                     64,                 1.0615,                0.81818,                  1.171,                0.82905,                0.77707,                0.86647,                0.55605,                 1.1918,                0.78802,                 1.1928,               0.007921,               0.007921,               0.007921
                     65,                 1.0705,                0.81971,                 1.1663,                0.83025,                0.83364,                0.88932,                0.57592,                 1.1255,                0.73264,                 1.1201,               0.007888,               0.007888,               0.007888
                     66,                 1.0548,                0.81198,                 1.1619,                0.88995,                0.83591,                0.89808,                0.59378,                 1.1548,                0.71837,                 1.1455,               0.007855,               0.007855,               0.007855
                     67,                 1.0586,                0.80484,                 1.1679,                0.83472,                0.82008,                  0.882,                0.59384,                 1.1407,                0.73103,                 1.1312,               0.007822,               0.007822,               0.007822
                     68,                 1.0593,                0.80201,                 1.1608,                0.84801,                0.84437,                0.89486,                0.60638,                  1.137,                0.67646,                 1.1166,               0.007789,               0.007789,               0.007789
                     69,                 1.0389,                0.79159,                 1.1542,                0.88326,                0.83763,                0.90012,                0.59705,                 1.1435,                0.68576,                 1.1417,               0.007756,               0.007756,               0.007756
                     70,                 1.0473,                0.79625,                 1.1578,                0.84215,                0.86121,                0.92138,                0.61204,                 1.1059,                0.66398,                 1.1195,               0.007723,               0.007723,               0.007723
                     71,                  1.033,                0.77943,                 1.1496,                0.83447,                0.87153,                0.91476,                0.60354,                 1.1341,                0.67847,                 1.1458,                0.00769,                0.00769,                0.00769
                     72,                 1.0356,                0.79178,                 1.1546,                0.85198,                0.84653,                0.91714,                0.60315,                 1.1475,                0.70819,                 1.1595,               0.007657,               0.007657,               0.007657
                     73,                   1.03,                0.79153,                 1.1484,                0.83926,                0.85286,                0.91329,                0.60264,                 1.1369,                0.69872,                  1.141,               0.007624,               0.007624,               0.007624
                     74,                 1.0231,                0.77313,                 1.1422,                0.85135,                0.84831,                0.90295,                0.59926,                 1.1593,                 0.7052,                 1.1552,               0.007591,               0.007591,               0.007591
                     75,                  1.014,                0.76661,                 1.1409,                0.83391,                0.89775,                0.92413,                0.60982,                 1.0941,                 0.6585,                 1.0953,               0.007558,               0.007558,               0.007558
                     76,                 1.0143,                0.77635,                 1.1378,                 0.8023,                0.84623,                0.90343,                0.60029,                 1.0971,                  0.677,                 1.1037,               0.007525,               0.007525,               0.007525
                     77,                 1.0144,                  0.768,                 1.1407,                0.83461,                0.89779,                0.92524,                0.60521,                 1.1268,                0.66835,                 1.1361,               0.007492,               0.007492,               0.007492
                     78,                 1.0137,                0.74988,                 1.1397,                0.84382,                0.83994,                 0.8961,                0.59264,                 1.1568,                0.67867,                 1.1642,               0.007459,               0.007459,               0.007459
                     79,                 1.0052,                0.76017,                 1.1358,                0.83716,                0.87934,                0.91105,                0.61397,                 1.0625,                0.63408,                 1.0847,               0.007426,               0.007426,               0.007426
                     80,                 1.0035,                0.76168,                 1.1378,                0.85955,                0.88136,                0.91888,                0.59714,                 1.1034,                0.65005,                 1.1369,               0.007393,               0.007393,               0.007393
                     81,                0.99877,                0.73955,                  1.123,                0.87797,                0.84176,                0.90176,                0.60326,                 1.1124,                0.67434,                 1.1154,                0.00736,                0.00736,                0.00736
                     82,                 1.0093,                0.75919,                 1.1343,                0.87572,                0.85555,                0.91355,                0.61356,                 1.1031,                0.66492,                 1.1099,               0.007327,               0.007327,               0.007327
                     83,                0.99171,                0.73982,                 1.1264,                 0.8563,                0.84437,                0.90299,                0.61729,                 1.0612,                0.63912,                 1.0807,               0.007294,               0.007294,               0.007294
                     84,                0.99826,                0.74598,                 1.1274,                0.90754,                0.83943,                0.91995,                0.61985,                 1.1385,                0.63727,                 1.1382,               0.007261,               0.007261,               0.007261
                     85,                0.99098,                0.73879,                 1.1293,                0.84085,                0.83996,                0.90334,                0.59495,                  1.117,                0.65139,                 1.1178,               0.007228,               0.007228,               0.007228
                     86,                0.99457,                 0.7392,                 1.1293,                0.87672,                0.85652,                0.91779,                0.62417,                 1.0656,                 0.6179,                 1.0848,               0.007195,               0.007195,               0.007195
                     87,                0.97991,                 0.7283,                 1.1237,                0.85807,                0.82863,                0.91031,                 0.6171,                 1.0914,                0.64428,                 1.1085,               0.007162,               0.007162,               0.007162
                     88,                0.98436,                0.72289,                 1.1202,                 0.8575,                0.86484,                0.91191,                0.61034,                  1.103,                0.65752,                 1.1216,               0.007129,               0.007129,               0.007129
                     89,                0.99368,                0.72962,                 1.1219,                 0.8819,                 0.8747,                0.92374,                0.62561,                 1.1081,                0.61886,                 1.1068,               0.007096,               0.007096,               0.007096
                     90,                0.97774,                0.72571,                 1.1245,                0.83774,                0.86454,                0.91024,                0.61305,                 1.0973,                0.65058,                 1.1054,               0.007063,               0.007063,               0.007063
                     91,                0.97187,                0.71351,                 1.1161,                0.89525,                0.84104,                0.91872,                0.62555,                 1.0908,                0.64358,                 1.1579,                0.00703,                0.00703,                0.00703
                     92,                0.96867,                0.71878,                 1.1157,                0.85799,                0.87951,                0.93171,                0.64252,                 1.0553,                0.60533,                 1.1036,               0.006997,               0.006997,               0.006997
                     93,                0.96332,                0.69812,                 1.1083,                0.88344,                0.85014,                0.91363,                0.62559,                 1.1063,                0.63394,                 1.1213,               0.006964,               0.006964,               0.006964
                     94,                0.95217,                0.69728,                 1.1068,                0.88861,                 0.8729,                 0.9325,                0.63671,                 1.0698,                0.60383,                 1.1032,               0.006931,               0.006931,               0.006931
                     95,                0.95946,                0.70001,                  1.112,                0.90718,                0.84093,                0.91764,                0.63221,                 1.0936,                0.61963,                 1.1062,               0.006898,               0.006898,               0.006898
                     96,                0.96762,                0.70528,                 1.1083,                0.86468,                0.85737,                0.91351,                0.64516,                 1.0439,                0.62316,                 1.0687,               0.006865,               0.006865,               0.006865
                     97,                0.95545,                0.70509,                 1.1021,                0.82306,                 0.8762,                0.89479,                0.61234,                 1.0561,                0.64074,                 1.0863,               0.006832,               0.006832,               0.006832
                     98,                0.94006,                0.70157,                 1.0976,                0.87496,                0.84342,                0.91509,                0.63956,                 1.0315,                0.61013,                 1.0705,               0.006799,               0.006799,               0.006799
                     99,                0.95098,                0.69335,                 1.1082,                0.89034,                0.86688,                0.91958,                0.63592,                 1.0762,                0.60525,                 1.0788,               0.006766,               0.006766,               0.006766
                    100,                0.93828,                0.68865,                 1.1023,                0.91704,                0.84322,                0.92476,                0.65277,                  1.048,                0.59386,                 1.0748,               0.006733,               0.006733,               0.006733
                    101,                0.93361,                0.68494,                 1.0954,                0.90261,                0.82555,                0.91601,                0.64242,                 1.0553,                0.61156,                 1.1037,                 0.0067,                 0.0067,                 0.0067
                    102,                0.93599,                 0.6814,                  1.097,                0.88463,                 0.8779,                0.92705,                0.64128,                 1.0359,                0.58425,                 1.0829,               0.006667,               0.006667,               0.006667
                    103,                0.93716,                0.68377,                 1.0962,                0.88335,                0.88156,                0.91669,                0.63442,                  1.079,                0.62248,                 1.0935,               0.006634,               0.006634,               0.006634
                    104,                0.92601,                0.67875,                 1.0985,                0.87057,                 0.8797,                0.91879,                0.63158,                 1.0552,                0.60383,                 1.1162,               0.006601,               0.006601,               0.006601
                    105,                0.93403,                0.68596,                 1.0975,                0.88041,                0.89884,                0.91204,                0.63476,                 1.0448,                0.59706,                 1.0923,               0.006568,               0.006568,               0.006568
                    106,                0.93078,                0.67685,                 1.0974,                0.89185,                  0.886,                0.92423,                0.64729,                0.99547,                0.58293,                 1.0282,               0.006535,               0.006535,               0.006535
                    107,                0.92148,                 0.6634,                 1.0903,                0.92137,                0.86254,                0.93078,                0.64838,                0.99993,                0.56849,                 1.0514,               0.006502,               0.006502,               0.006502
                    108,                0.92959,                0.67406,                 1.0987,                0.88673,                0.86753,                0.92285,                0.64378,                 1.0613,                0.62003,                 1.0981,               0.006469,               0.006469,               0.006469
                    109,                0.92198,                0.67037,                  1.089,                0.86743,                0.89845,                0.92257,                0.63566,                 1.0597,                0.58444,                  1.079,               0.006436,               0.006436,               0.006436
                    110,                0.91967,                0.65679,                 1.0856,                0.84733,                0.90305,                0.92043,                0.63695,                 1.0129,                0.59768,                 1.0779,               0.006403,               0.006403,               0.006403
                    111,                0.92226,                0.66633,                 1.0879,                0.88147,                0.88526,                0.93077,                0.64525,                  1.048,                0.56663,                 1.0756,                0.00637,                0.00637,                0.00637
                    112,                0.91072,                0.65619,                  1.091,                 0.8869,                0.85687,                0.92572,                0.64553,                 1.0609,                0.61057,                 1.0982,               0.006337,               0.006337,               0.006337
                    113,                0.91697,                0.65909,                 1.0893,                0.86814,                0.91416,                  0.933,                0.64704,                 1.0217,                0.58024,                 1.0593,               0.006304,               0.006304,               0.006304
                    114,                0.91515,                0.65171,                 1.0853,                0.85733,                0.91001,                0.92668,                0.63317,                 1.0547,                0.57677,                 1.0777,               0.006271,               0.006271,               0.006271
                    115,                0.91272,                0.65446,                 1.0855,                0.88345,                 0.8854,                0.92232,                0.63955,                 1.0073,                 0.5513,                  1.059,               0.006238,               0.006238,               0.006238
                    116,                0.90852,                0.65197,                 1.0845,                0.88518,                0.88026,                0.93265,                0.63838,                 1.0872,                0.57007,                 1.1077,               0.006205,               0.006205,               0.006205
                    117,                0.89878,                0.64711,                 1.0751,                0.87639,                0.89443,                0.92223,                0.62632,                 1.0969,                0.58812,                 1.1313,               0.006172,               0.006172,               0.006172
                    118,                0.89311,                0.64361,                 1.0773,                0.91647,                0.88817,                 0.9349,                0.65241,                 1.0705,                0.58394,                 1.0835,               0.006139,               0.006139,               0.006139
                    119,                0.89186,                0.64772,                 1.0791,                0.86624,                 0.8851,                0.92994,                0.65061,                 1.0496,                0.57078,                 1.0629,               0.006106,               0.006106,               0.006106
                    120,                0.89851,                0.64213,                 1.0795,                0.90708,                0.86744,                0.91873,                0.62799,                 1.1172,                0.60875,                 1.1079,               0.006073,               0.006073,               0.006073
                    121,                0.89713,                0.63588,                 1.0771,                0.86222,                 0.8606,                0.91653,                0.62777,                 1.1035,                0.59433,                 1.1255,                0.00604,                0.00604,                0.00604
                    122,                0.88949,                0.63281,                 1.0711,                0.88202,                0.84841,                 0.9224,                0.63847,                 1.0422,                0.57858,                 1.0727,               0.006007,               0.006007,               0.006007
                    123,                0.88935,                0.63652,                 1.0749,                0.89237,                 0.8816,                0.93177,                0.64714,                 1.0742,                0.58351,                 1.1053,               0.005974,               0.005974,               0.005974
                    124,                0.87684,                0.62184,                 1.0666,                0.90141,                0.89006,                0.92829,                0.64024,                 1.0704,                0.56254,                 1.1076,               0.005941,               0.005941,               0.005941
                    125,                0.88395,                0.62802,                  1.071,                0.88837,                0.87511,                0.92422,                0.65149,                 1.0524,                0.58826,                  1.114,               0.005908,               0.005908,               0.005908
                    126,                0.87884,                0.62178,                 1.0709,                0.90087,                0.88232,                0.94166,                0.65288,                 1.0523,                 0.5469,                 1.1053,               0.005875,               0.005875,               0.005875
                    127,                0.88263,                0.63119,                 1.0692,                0.90093,                 0.8729,                0.93245,                0.64655,                 1.0286,                0.55691,                 1.0767,               0.005842,               0.005842,               0.005842
                    128,                0.88186,                0.62301,                 1.0711,                0.91218,                0.88117,                0.93437,                 0.6513,                 1.0463,                0.56028,                 1.0957,               0.005809,               0.005809,               0.005809
                    129,                0.87273,                0.61495,                 1.0625,                0.91386,                0.87288,                0.93659,                0.64741,                 1.0591,                0.55043,                 1.1004,               0.005776,               0.005776,               0.005776
                    130,                0.87039,                0.62146,                  1.067,                0.91331,                0.88191,                0.93332,                0.65331,                 1.0348,                 0.5628,                 1.0866,               0.005743,               0.005743,               0.005743
                    131,                0.86935,                0.61502,                 1.0652,                0.92326,                0.85264,                0.93266,                0.64796,                 1.0765,                0.57685,                 1.1224,                0.00571,                0.00571,                0.00571
                    132,                0.86984,                0.61557,                 1.0629,                0.90213,                0.86462,                0.92893,                0.63852,                  1.069,                0.58189,                 1.1139,               0.005677,               0.005677,               0.005677
                    133,                0.87018,                0.61982,                 1.0635,                0.88021,                 0.8771,                0.91517,                 0.6286,                 1.0809,                0.59887,                  1.116,               0.005644,               0.005644,               0.005644
                    134,                0.87369,                0.61465,                 1.0728,                0.90594,                0.86259,                0.91784,                 0.6328,                 1.0885,                0.58341,                 1.1326,               0.005611,               0.005611,               0.005611
                    135,                0.86186,                 0.6144,                 1.0619,                0.90985,                0.87649,                0.93241,                0.65072,                 1.0693,                0.57765,                 1.1309,               0.005578,               0.005578,               0.005578
                    136,                0.86921,                0.60848,                 1.0609,                0.89982,                0.85776,                0.92471,                 0.6389,                  1.053,                0.59009,                 1.0839,               0.005545,               0.005545,               0.005545
                    137,                0.86694,                0.61172,                 1.0671,                0.90299,                0.86494,                 0.9229,                0.63382,                 1.0702,                0.59142,                 1.1157,               0.005512,               0.005512,               0.005512
                    138,                0.85358,                0.60812,                 1.0579,                0.90186,                0.87443,                0.92621,                0.64153,                 1.0583,                 0.5948,                 1.1135,               0.005479,               0.005479,               0.005479
                    139,                0.86274,                0.61357,                 1.0592,                0.89497,                0.90495,                0.94298,                0.65088,                 1.0774,                0.56419,                  1.137,               0.005446,               0.005446,               0.005446
                    140,                0.85666,                 0.6013,                 1.0598,                0.88799,                 0.8855,                0.93724,                0.64882,                 1.0809,                0.55968,                 1.1215,               0.005413,               0.005413,               0.005413
                    141,                0.84807,                0.60407,                 1.0578,                 0.8753,                0.88733,                0.92756,                0.65196,                 1.0597,                0.56211,                 1.0842,                0.00538,                0.00538,                0.00538
                    142,                0.84705,                 0.6012,                 1.0547,                0.91341,                 0.8674,                0.93023,                0.65036,                 1.0543,                0.57638,                 1.0955,               0.005347,               0.005347,               0.005347
                    143,                0.85946,                0.59425,                 1.0631,                0.88791,                0.91553,                0.93279,                0.64626,                 1.0598,                0.55517,                 1.1164,               0.005314,               0.005314,               0.005314
                    144,                0.84424,                0.59427,                 1.0566,                0.91804,                 0.8712,                0.92787,                0.64179,                 1.0881,                0.57204,                 1.1259,               0.005281,               0.005281,               0.005281
                    145,                0.84608,                0.59586,                 1.0585,                 0.8881,                0.90999,                0.92785,                0.64302,                 1.0756,                0.57734,                 1.1342,               0.005248,               0.005248,               0.005248
                    146,                 0.8357,                0.58601,                 1.0508,                0.87819,                0.90576,                0.92866,                0.64856,                 1.0788,                0.57523,                 1.1575,               0.005215,               0.005215,               0.005215
                    147,                0.82824,                0.58439,                 1.0521,                0.87494,                0.90999,                0.93276,                0.64402,                 1.0961,                0.57425,                 1.1428,               0.005182,               0.005182,               0.005182
                    148,                0.83506,                0.58401,                 1.0426,                0.88513,                0.89441,                0.93327,                0.64788,                 1.0629,                0.56993,                 1.1005,               0.005149,               0.005149,               0.005149
                    149,                0.82708,                0.58089,                  1.042,                0.89467,                0.87723,                 0.9194,                0.63952,                 1.0648,                0.57829,                 1.1061,               0.005116,               0.005116,               0.005116
                    150,                0.84722,                 0.5912,                   1.06,                  0.919,                0.84154,                0.91801,                0.64066,                 1.0485,                0.59185,                 1.1071,               0.005083,               0.005083,               0.005083
                    151,                0.82514,                0.57732,                 1.0424,                0.89082,                0.90899,                0.93783,                0.65875,                 1.0676,                0.55784,                 1.1099,                0.00505,                0.00505,                0.00505
                    152,                0.82951,                0.57547,                 1.0485,                0.88709,                0.90586,                 0.9284,                0.64261,                 1.0821,                0.58332,                 1.1336,               0.005017,               0.005017,               0.005017
                    153,                0.83408,                0.57652,                 1.0472,                0.90148,                0.89749,                0.93608,                0.65648,                 1.0737,                0.56264,                 1.1097,               0.004984,               0.004984,               0.004984
                    154,                0.83189,                 0.5847,                 1.0474,                0.88362,                0.89857,                0.92521,                0.63925,                 1.0688,                0.58137,                 1.0941,               0.004951,               0.004951,               0.004951
                    155,                0.82956,                 0.5832,                 1.0466,                0.90164,                0.88645,                0.91738,                0.64347,                 1.0354,                0.57211,                  1.097,               0.004918,               0.004918,               0.004918
                    156,                 0.8279,                0.57388,                 1.0429,                0.92336,                0.87591,                0.93261,                0.65479,                 1.0567,                0.55584,                 1.1237,               0.004885,               0.004885,               0.004885
                    157,                0.83092,                0.58127,                 1.0489,                0.88177,                0.91143,                 0.9314,                0.65772,                 1.0627,                0.56711,                 1.1249,               0.004852,               0.004852,               0.004852
                    158,                0.80869,                0.56248,                 1.0394,                0.90522,                0.86182,                0.91957,                0.65364,                 1.0524,                0.58171,                 1.1071,               0.004819,               0.004819,               0.004819
